Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,-log10_p
GO_Biological_Process_2021,regulation of tissue remodeling (GO:0034103),4/20,2.680321068927162e-06,0.00026458597980409557,0,0,51.78125,664.3313770708211,CST3;MDK;LEPR;RUNX1,0,5.571813179810184
GO_Biological_Process_2021,regulation of macrophage chemotaxis (GO:0010758),4/22,4.015814340350795e-06,0.00036999036122431993,0,0,46.023148148148145,571.8500607054012,CSF1;MDK;IL34;RARRES2,0,5.39622637375771
GO_Biological_Process_2021,regulation of mononuclear cell migration (GO:0071675),4/23,4.842628966725328e-06,0.0004182820770009002,0,0,43.598684210526315,533.5629998044093,CSF1;MDK;IL34;RARRES2,0,5.3149188045187445
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),15/764,5.79249643658924e-06,0.0004708958867862547,0,0,4.512133825492814,54.41158354207634,PDGFRB;JUN;JUND;CSF1;IL34;RUNX1;ZFP36L1;SFRP4;ESM1;RGCC;FTH1;CYP1B1;IGFBP7;NUPR1;JUNB,0,5.237134224705895
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),11/408,6.194187796066569e-06,0.0004755759741202221,0,0,6.071745959867546,72.81176526277666,PDGFRB;CXCL12;CSF1;SERPINE2;IGFBP5;MDK;TPM1;ADIPOQ;DPEP1;CYP1B1;MYLK,0,5.208015631791782
GO_Biological_Process_2021,regulation of epidermal cell differentiation (GO:0045604),4/25,6.865153777759796e-06,0.0004993496063612652,0,0,39.44246031746032,468.9334664055757,SFRP4;ZFP36;ZFP36L1;RUNX1,0,5.16334973022846
GO_Biological_Process_2021,positive regulation of multicellular organismal process (GO:0051240),10/345,8.961892327130172e-06,0.0006192667598046948,0,0,6.48922056384743,75.42115520336947,GHR;GJA1;FOXC1;RGCC;MDK;FST;ADIPOQ;LEPR;APOE;GAS6,0,5.047600278233077
GO_Biological_Process_2021,response to reactive oxygen species (GO:0000302),5/59,1.1418514477399644e-05,0.0007514470003698242,0,0,19.34307992202729,220.1295580852784,JUN;TPM1;HP;FOS;APOE,0,4.942390393133324
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),13/621,1.3135327823797248e-05,0.0008169869922710562,0,0,4.741303690260133,53.29322628547782,IFITM3;EGR1;FOXC1;VCAM1;CSF1;IL34;FOS;GHR;SOCS3;COL1A2;CXCL12;LEPR;JUNB,0,4.881559083876042
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),13/625,1.4057732082721827e-05,0.0008169869922710562,0,0,4.709338141386823,52.61431741246207,PDGFRB;CSF1;IL34;TPM1;HP;ZFP36L1;SLC6A6;ZFP36;ESM1;CXCL12;MDK;NUPR1;GAS6,0,4.852084737879848
GO_Biological_Process_2021,positive regulation of monocyte differentiation (GO:0045657),3/10,1.4187907246385926e-05,0.0008169869922710562,0,0,87.89248895434463,981.1544503878058,CSF1;IL34;ZFP36L1,0,4.8480816593962075
GO_Biological_Process_2021,negative regulation of peptidase activity (GO:0010466),5/63,1.57800160031975e-05,0.0008723192846567579,0,0,18.005444646098002,199.08199229035117,CST3;SERPINA12;SERPINE2;SERPINH1;SERPING1,0,4.801892560689536
GO_Biological_Process_2021,regulation of keratinocyte differentiation (GO:0045616),4/34,2.4314384792332625e-05,0.001292403068577,0,0,27.59722222222222,293.2050983415092,FOXC1;ZFP36;ZFP36L1;RUNX1,0,4.614136714566923
GO_Biological_Process_2021,regulation of vascular associated smooth muscle cell migration (GO:1904752),3/12,2.5822694403897266e-05,0.0013217393950439,0,0,68.35395189003437,722.1087027443646,IGFBP5;ADIPOQ;TPM1,0,4.58799844434328
GO_Biological_Process_2021,positive regulation of myeloid leukocyte differentiation (GO:0002763),4/36,3.0647360561549374e-05,0.0015126661534307,0,0,25.869791666666668,268.86381386041506,CSF1;IL34;ZFP36L1;RUNX1,0,4.513606922219434
GO_Biological_Process_2021,positive regulation of lipid transport (GO:0032370),3/13,3.344768461719186e-05,0.0015939551772744,0,0,61.51546391752577,633.9493354046144,ADIPOQ;SPP1;APOE,0,4.475633940460602
GO_Biological_Process_2021,cellular response to oxygen-containing compound (GO:1901701),9/323,3.5065566053486274e-05,0.0016153537428639,0,0,6.169034786869182,63.28375362029605,EGR1;ZFP36;JUN;IGFBP5;TPM1;DPEP1;LPL;FOS;ZFP36L1,0,4.4551191460159805
GO_Biological_Process_2021,negative regulation of smooth muscle cell migration (GO:0014912),3/14,4.241532244475955e-05,0.0018909024393115,0,0,55.9203373945642,563.0060062434084,IGFBP5;ADIPOQ;TPM1,0,4.372477227107502
GO_Biological_Process_2021,regulation of fat cell differentiation (GO:0045598),5/80,5.046817087847377e-05,0.002147254420545,0,0,13.912280701754383,137.65043835300511,ZFP36;RARRES2;ADIPOQ;LPL;ZFP36L1,0,4.29698243514705
GO_Biological_Process_2021,epithelial cell migration (GO:0010631),4/41,5.1689501936938505e-05,0.002147254420545,0,0,22.36824324324324,220.78028382384923,NRP1;ZEB2;CYP1B1;FSTL1,0,4.286597652531117
GO_Biological_Process_2021,regulation of macrophage differentiation (GO:0045649),3/15,5.2826809188518965e-05,0.002147254420545,0,0,51.25773195876289,504.8113501315131,CSF1;IL34;ADIPOQ,0,4.277145620501189
GO_Biological_Process_2021,regulation of monocyte differentiation (GO:0045655),3/16,6.478177589668101e-05,0.0025579546939775,0,0,47.312450436161775,456.30427675438654,CSF1;IL34;ZFP36L1,0,4.1885471506210346
GO_Biological_Process_2021,positive regulation of chemotaxis (GO:0050921),4/45,7.48930003693102e-05,0.0028750590697329,0,0,20.181910569105693,191.7170528748238,PDGFRB;NRP1;MDK;RARRES2,0,4.125558770325056
GO_Biological_Process_2021,regulation of cellular response to growth factor stimulus (GO:0090287),3/17,7.837829876798801e-05,0.0029275353756043,0,0,43.930780559646536,415.3199946350019,SFRP4;FST;FSTL1,0,4.105804167289321
GO_Biological_Process_2021,positive regulation of smooth muscle cell proliferation (GO:0048661),4/46,8.17122681204673e-05,0.0029717461721706,0,0,19.700396825396822,185.42617125575265,PDGFRB;GJA1;JUN;IGFBP5,0,4.087712734446334
GO_Biological_Process_2021,negative regulation of cell migration (GO:0030336),6/144,8.580293270186533e-05,0.0030405039229225,0,0,9.140610545790937,85.58771719390064,GJA1;IGFBP5;TPM1;ADIPOQ;DPEP1;CYP1B1,0,4.066497867926697
GO_Biological_Process_2021,positive regulation of glial cell differentiation (GO:0045687),3/18,9.371291441807692e-05,0.0032377811931445,0,0,41.0,380.2862565875762,SERPINE2;MDK;IL34,0,4.028200555600695
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),7/216,0.0001063726179155648,0.0035855355599831,0,0,7.091475021865514,64.8768014945019,VCAM1;COL1A2;SPARC;TNC;SPP1;BGN;FBLN5,0,3.973170152291224
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),7/217,0.00010947351672422448,0.0036022000026875,0,0,7.057347670250896,64.36179614334695,VCAM1;COL1A2;SPARC;TNC;SPP1;BGN;FBLN5,0,3.9606909304276705
GO_Biological_Process_2021,positive regulation of fat cell differentiation (GO:0045600),4/51,0.00012276194853078428,0.0039455119271986,0,0,17.60017730496454,158.4942334974267,ZFP36;RARRES2;LPL;ZFP36L1,0,3.9109362268755077
GO_Biological_Process_2021,regulation of MAP kinase activity (GO:0043405),5/97,0.00012652505731123543,0.0039740370273665,0,0,11.331807780320366,101.70377018417236,PDGFRB;IL34;ADIPOQ;SPRY1;APOE,0,3.8978234572995727
GO_Biological_Process_2021,regulation of smooth muscle cell migration (GO:0014910),3/20,0.00012997496316054035,0.0039916755352859,0,0,36.1728320194057,323.6806038860264,PDGFRB;NRP1;IGFBP5,0,3.886140296988642
GO_Biological_Process_2021,positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707),3/21,0.00015108790718152863,0.0045392062548885,0,0,34.16151202749141,300.5409826909726,JUN;GJA1;IGFBP5,0,3.8207702944597934
GO_Biological_Process_2021,positive regulation of cellular metabolic process (GO:0031325),5/105,0.00018369569769938475,0.0054014351961819,0,0,10.421052631578949,89.64429143587893,PDGFRB;SFRP4;CSF1;ADIPOQ;APOE,0,3.7359010151002723
GO_Biological_Process_2021,regulation of keratinocyte proliferation (GO:0010837),3/24,0.00022743640782365407,0.0065482732419227,0,0,29.276877761413843,245.59318448881905,ZFP36;MDK;ZFP36L1,0,3.6431400125977977
GO_Biological_Process_2021,negative regulation of dendritic cell differentiation (GO:2001199),2/5,0.0002450871709985121,0.0066413817709792,0,0,135.35374149659864,1125.3170126751409,TMEM176B;TMEM176A,0,3.6106794211443836
GO_Biological_Process_2021,negative regulation of leukocyte differentiation (GO:1902106),2/5,0.0002450871709985121,0.0066413817709792,0,0,135.35374149659864,1125.3170126751409,TMEM176B;TMEM176A,0,3.6106794211443836
GO_Biological_Process_2021,p38MAPK cascade (GO:0038066),2/5,0.0002450871709985121,0.0066413817709792,0,0,135.35374149659864,1125.3170126751409,ZFP36;ZFP36L1,0,3.6106794211443836
GO_Biological_Process_2021,negative regulation of cell motility (GO:2000146),5/114,0.0002695587648476865,0.0070600854299013,0,0,9.556253017865766,78.54020736590117,IGFBP5;TPM1;ADIPOQ;DPEP1;CYP1B1,0,3.569346542287956
GO_Biological_Process_2021,negative regulation of endopeptidase activity (GO:0010951),4/63,0.000279497344115111,0.0070600854299013,0,0,14.012005649717514,114.65348518972716,SERPINA12;SERPINE2;SERPINH1;SERPING1,0,3.55362231458125
GO_Biological_Process_2021,cellular response to reactive oxygen species (GO:0034614),4/63,0.000279497344115111,0.0070600854299013,0,0,14.012005649717514,114.65348518972716,JUN;TPM1;CYP1B1;FOS,0,3.55362231458125
GO_Biological_Process_2021,positive regulation of phosphorylation (GO:0042327),7/253,0.00028097300914947323,0.0070600854299013,0,0,6.013550135501355,49.174314548454774,PDGFRB;NRP1;RARRES2;IL34;ADIPOQ;LEPR;GAS6,0,3.551335397320708
GO_Biological_Process_2021,cellular response to drug (GO:0035690),3/26,0.00029004938736300437,0.0071580045238512,0,0,26.728372926938594,217.7148751207531,ADIPOQ;DPEP1;GAS6,0,3.537528047504254
GO_Biological_Process_2021,positive regulation of cell death (GO:0010942),4/66,0.00033432311010974254,0.0081058690907309,0,0,13.331989247311828,106.70127789939,EGR1;SLC6A6;HP;FOS,0,3.4758336017315736
GO_Biological_Process_2021,cellular response to epidermal growth factor stimulus (GO:0071364),3/28,0.00036282137198050867,0.008440154270717,0,0,24.587628865979383,194.773359177925,FOXC1;ZFP36;ZFP36L1,0,3.440307138756852
GO_Biological_Process_2021,negative regulation of cardiac muscle cell apoptotic process (GO:0010667),2/6,0.0003664321680484968,0.008440154270717,0,0,101.51020408163264,803.1179907171842,MDK;NUPR1,0,3.4360064078406323
GO_Biological_Process_2021,negative regulation of erythrocyte differentiation (GO:0045647),2/6,0.0003664321680484968,0.008440154270717,0,0,101.51020408163264,803.1179907171842,ZFP36;ZFP36L1,0,3.4360064078406323
GO_Biological_Process_2021,negative regulation of cellular catabolic process (GO:0031330),4/69,0.0003964527661942432,0.0089819298832859,0,0,12.71474358974359,99.59399722103193,CST3;HP;LEPR;NUPR1,0,3.4018085475724655
GO_Biological_Process_2021,regulation of DNA biosynthetic process (GO:2000278),3/29,0.0004032210189685461,0.0089879265841053,0,0,23.640761300555116,184.7767981808264,PDGFRB;RGCC;ADIPOQ,0,3.394456837216973
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),5/125,0.00041241552456101665,0.0090469564276718,0,0,8.675438596491228,67.61184992387277,JUN;GPX3;TPM1;GPX8;FOS,0,3.384664994930027
GO_Biological_Process_2021,regulation of endopeptidase activity (GO:0052548),4/71,0.0004421954336138499,0.009548657644599,0,0,12.333955223880595,95.26449293118738,SERPINA12;SERPINE2;SERPINH1;SERPING1,0,3.3543857465301383
GO_Biological_Process_2021,negative regulation of epithelial cell proliferation (GO:0050680),4/72,0.000466423832616095,0.0098147486236424,0,0,12.151960784313726,93.21059230650977,SPARC;RGCC;NUPR1;APOE,0,3.3312192667627194
GO_Biological_Process_2021,regulation of macrophage derived foam cell differentiation (GO:0010743),3/31,0.0004924436798304106,0.0098147486236424,0,0,21.949926362297496,167.17350275311443,CSF1;ADIPOQ;LPL,0,3.307643432044588
GO_Biological_Process_2021,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),3/31,0.0004924436798304106,0.0098147486236424,0,0,21.949926362297496,167.17350275311443,SFRP4;FST;FSTL1,0,3.307643432044588
GO_Biological_Process_2021,negative regulation of cell cycle phase transition (GO:1901988),2/7,0.0005113327792346296,0.0098147486236424,0,0,81.20408163265306,615.4043164173056,RGCC;ZFP36L1,0,3.291296365723662
GO_Biological_Process_2021,negative regulation of dendritic cell apoptotic process (GO:2000669),2/7,0.0005113327792346296,0.0098147486236424,0,0,81.20408163265306,615.4043164173056,CXCL12;GAS6,0,3.291296365723662
GO_Biological_Process_2021,regulation of bone remodeling (GO:0046850),2/7,0.0005113327792346296,0.0098147486236424,0,0,81.20408163265306,615.4043164173056,MDK;LEPR,0,3.291296365723662
GO_Biological_Process_2021,bleb assembly (GO:0032060),2/7,0.0005113327792346296,0.0098147486236424,0,0,81.20408163265306,615.4043164173056,EMP1;MYLK,0,3.291296365723662
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)",2/7,0.0005113327792346296,0.0098147486236424,0,0,81.20408163265306,615.4043164173056,ZFP36;ZFP36L1,0,3.291296365723662
GO_Biological_Process_2021,regulation of chemotaxis (GO:0050920),3/32,0.0005414210691078273,0.0102457715154832,0,0,21.191965872733736,159.39141404206077,PDGFRB;RARRES2;MYCBP2,0,3.2664648479019953
GO_Biological_Process_2021,positive regulation of protein phosphorylation (GO:0001934),8/371,0.0005486158409158901,0.0102457715154832,0,0,4.680081446879866,35.13857616235666,GHR;NRP1;CSF1;RARRES2;IL34;ADIPOQ;LEPR;GAS6,0,3.2607316565874207
GO_Biological_Process_2021,positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),5/134,0.000566686314646105,0.0104169451207894,0,0,8.066503467972256,60.30279743865541,GHR;SOCS3;NRP1;IL34;GAS6,0,3.2466572753511733
GO_Biological_Process_2021,regulation of epithelial to mesenchymal transition (GO:0010717),4/76,0.0005728566057742373,0.0104169451207894,0,0,11.474537037037036,85.65598609029966,FOXC1;RGCC;MDK;SPRY1,0,3.2419540745675812
GO_Biological_Process_2021,negative regulation of smooth muscle cell proliferation (GO:0048662),3/33,0.0005934098642840978,0.0106505510706574,0,0,20.484536082474225,152.19242604001315,IGFBP5;ADIPOQ;TPM1,0,3.2266452386586364
GO_Biological_Process_2021,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),3/34,0.0006484839479590657,0.0114529907361007,0,0,19.822746923844363,145.51627376631131,EGR1;JUN;FOS,0,3.1881007696170354
GO_Biological_Process_2021,regulation of Cdc42 protein signal transduction (GO:0032489),2/8,0.0006795551666861537,0.0114529907361007,0,0,67.66666666666667,493.5655481733249,NRP1;APOE,0,3.167775281220127
GO_Biological_Process_2021,negative regulation of striated muscle cell apoptotic process (GO:0010664),2/8,0.0006795551666861537,0.0114529907361007,0,0,67.66666666666667,493.5655481733249,MDK;NUPR1,0,3.167775281220127
GO_Biological_Process_2021,sequestering of BMP from receptor via BMP binding (GO:0038098),2/8,0.0006795551666861537,0.0114529907361007,0,0,67.66666666666667,493.5655481733249,CHRDL1;FSTL1,0,3.167775281220127
GO_Biological_Process_2021,positive regulation of oligodendrocyte differentiation (GO:0048714),2/8,0.0006795551666861537,0.0114529907361007,0,0,67.66666666666667,493.5655481733249,MDK;IL34,0,3.167775281220127
GO_Biological_Process_2021,negative regulation of multicellular organismal process (GO:0051241),6/214,0.0007230978760387988,0.0120400152371761,0,0,6.042962356792144,43.70249812283806,GJA1;RGCC;MDK;ADIPOQ;SPRY1;GAS6,0,3.14080291412092
GO_Biological_Process_2021,negative regulation of DNA-binding transcription factor activity (GO:0043433),5/143,0.0007607477082160351,0.0125161111042209,0,0,7.536994660564455,54.12473224425277,SFRP4;CYP1B1;ID3;NUPR1;GAS6,0,3.1187593472979307
GO_Biological_Process_2021,negative regulation of endothelial cell proliferation (GO:0001937),3/37,0.0008329373632247138,0.0132312578847879,0,0,18.070952092177077,128.13302753808438,SPARC;RGCC;APOE,0,3.0793876562506783
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036),3/37,0.0008329373632247138,0.0132312578847879,0,0,18.070952092177077,128.13302753808438,MDK;NUPR1;GAS6,0,3.0793876562506783
GO_Biological_Process_2021,positive regulation of calcium ion transport (GO:0051928),3/37,0.0008329373632247138,0.0132312578847879,0,0,18.070952092177077,128.13302753808438,PDGFRB;CXCL12;MYLK,0,3.0793876562506783
GO_Biological_Process_2021,chylomicron remodeling (GO:0034371),2/9,0.000870867194754317,0.0135229040803423,0,0,57.99708454810496,408.6486795613659,LPL;APOE,0,3.0600480688533214
GO_Biological_Process_2021,very-low-density lipoprotein particle remodeling (GO:0034372),2/9,0.000870867194754317,0.0135229040803423,0,0,57.99708454810496,408.6486795613659,LPL;APOE,0,3.0600480688533214
GO_Biological_Process_2021,regulation of neuron death (GO:1901214),4/86,0.000912726692152766,0.0140154254283902,0,0,10.070121951219512,70.4815294668184,EGR1;CSF1;NENF;FOS,0,3.03965924859865
GO_Biological_Process_2021,cellular response to organic cyclic compound (GO:0071407),5/150,0.000943057893910248,0.0143220440591644,0,0,7.170598911070781,49.95313752128969,EGR1;IGFBP5;SPP1;CYP1B1;ZFP36L1,0,3.0254616452966254
GO_Biological_Process_2021,endothelial cell migration (GO:0043542),3/39,0.0009726294551664332,0.014610585946087,0,0,17.06529209621993,118.35645919802704,NRP1;CYP1B1;FSTL1,0,3.0120525823695856
GO_Biological_Process_2021,negative regulation of blood coagulation (GO:0030195),3/40,0.0010476950310726,0.0155689734724989,0,0,16.60323209807746,113.9174773737536,SERPINE2;SERPING1;APOE,0,2.979765115822769
GO_Biological_Process_2021,regulation of axon guidance (GO:1902667),2/10,0.0010850384206118,0.0157844536556377,0,0,50.744897959183675,346.39177176286466,NRP1;MYCBP2,0,2.9645548834151993
GO_Biological_Process_2021,regulation of granulocyte differentiation (GO:0030852),2/10,0.0010850384206118,0.0157844536556377,0,0,50.744897959183675,346.39177176286466,ADIPOQ;RUNX1,0,2.9645548834151993
GO_Biological_Process_2021,regulation of cell differentiation (GO:0045595),5/156,0.0011236344926704,0.0161756548840681,0,0,6.883583130010456,46.747698647281894,SLC6A6;CSF1;MDK;RUNX1;ZFP36L1,0,2.9493749375494063
GO_Biological_Process_2021,regulation of endothelial cell proliferation (GO:0001936),4/92,0.0011738374459389,0.0165535035743638,0,0,9.380681818181818,63.29593508345567,NRP1;SPARC;RGCC;APOE,0,2.930392040413483
GO_Biological_Process_2021,retinoid metabolic process (GO:0001523),4/92,0.0011738374459389,0.0165535035743638,0,0,9.380681818181818,63.29593508345567,RARRES2;CYP1B1;LPL;APOE,0,2.930392040413483
GO_Biological_Process_2021,positive regulation of epithelial to mesenchymal transition (GO:0010718),3/42,0.0012085906045389,0.0168714365199277,0,0,15.750198255352895,105.81456304852416,FOXC1;RGCC;MDK,0,2.917720786235809
GO_Biological_Process_2021,regulation of ERK1 and ERK2 cascade (GO:0070372),6/238,0.0012521948803441,0.0173053332463561,0,0,5.411225238444607,36.16244642862069,PDGFRB;NRP1;ADIPOQ;SPRY1;APOE;GAS6,0,2.9023280761800767
GO_Biological_Process_2021,negative regulation of cellular protein metabolic process (GO:0032269),4/94,0.0012713977134132,0.0173967489102689,0,0,9.171296296296296,61.15088756420859,CST3;SERPINE2;IGFBP5;APOE,0,2.8957185739759743
GO_Biological_Process_2021,regulation of cardiac muscle cell apoptotic process (GO:0010665),2/11,0.0013218400851343,0.0175652211313039,0,0,45.10430839002267,298.984305122014,MDK;NUPR1,0,2.8788210821760836
GO_Biological_Process_2021,regulation of dendritic cell apoptotic process (GO:2000668),2/11,0.0013218400851343,0.0175652211313039,0,0,45.10430839002267,298.984305122014,CXCL12;GAS6,0,2.8788210821760836
GO_Biological_Process_2021,positive regulation of macrophage differentiation (GO:0045651),2/11,0.0013218400851343,0.0175652211313039,0,0,45.10430839002267,298.984305122014,CSF1;IL34,0,2.8788210821760836
GO_Biological_Process_2021,positive regulation of biosynthetic process (GO:0009891),3/44,0.0013842585226956,0.0180475969657116,0,0,14.980387226552676,98.60975682160374,RGCC;APOE;RUNX1,0,2.8587827939144392
GO_Biological_Process_2021,positive regulation of stress fiber assembly (GO:0051496),3/44,0.0013842585226956,0.0180475969657116,0,0,14.980387226552676,98.60975682160374,NRP1;RGCC;TPM1,0,2.8587827939144392
GO_Biological_Process_2021,negative regulation of canonical Wnt signaling pathway (GO:0090090),5/165,0.0014409727223071,0.018467671916807,0,0,6.493421052631579,42.48279744899109,SFRP4;IGFBP4;MDK;APOE;BICC1,0,2.84134424032663
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),7/335,0.0014692072437458,0.018467671916807,0,0,4.491345397324941,29.2971911584215,EGR1;RGCC;MDK;ADIPOQ;CYP1B1;LPL;RUNX1,0,2.8329169390858824
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),3/45,0.0014777850926901,0.018467671916807,0,0,14.622974963181148,95.3010113987768,EGR1;JUN;FOS,0,2.8303887187456414
GO_Biological_Process_2021,regulation of receptor signaling pathway via JAK-STAT (GO:0046425),3/45,0.0014777850926901,0.018467671916807,0,0,14.622974963181148,95.3010113987768,GHR;SOCS3;CYP1B1,0,2.8303887187456414
GO_Biological_Process_2021,negative regulation of neuron death (GO:1901215),4/98,0.0014832934752283,0.018467671916807,0,0,8.779255319148936,57.18359473531712,CSF1;MDK;APOE;NENF,0,2.828772913662987
GO_Biological_Process_2021,negative regulation of hemostasis (GO:1900047),2/12,0.0015810451022911,0.0188362442359174,0,0,40.59183673469388,261.8039188938469,SERPINE2;APOE,0,2.801055740822531
GO_Biological_Process_2021,negative regulation of leukocyte apoptotic process (GO:2000107),2/12,0.0015810451022911,0.0188362442359174,0,0,40.59183673469388,261.8039188938469,CXCL12;GAS6,0,2.801055740822531
GO_Biological_Process_2021,regulation of dendritic cell differentiation (GO:2001198),2/12,0.0015810451022911,0.0188362442359174,0,0,40.59183673469388,261.8039188938469,TMEM176B;TMEM176A,0,2.801055740822531
GO_Biological_Process_2021,regulation of plasminogen activation (GO:0010755),2/12,0.0015810451022911,0.0188362442359174,0,0,40.59183673469388,261.8039188938469,SERPINE2;RUNX1,0,2.801055740822531
GO_Biological_Process_2021,positive regulation of leukocyte proliferation (GO:0070665),2/12,0.0015810451022911,0.0188362442359174,0,0,40.59183673469388,261.8039188938469,CSF1;IL34,0,2.801055740822531
GO_Biological_Process_2021,positive regulation of neuron death (GO:1901216),3/47,0.0016765192380744,0.0198029879232386,0,0,13.95688847235239,89.19896993336747,EGR1;FOS;NUPR1,0,2.7755914586732064
GO_Biological_Process_2021,regulation of canonical Wnt signaling pathway (GO:0060828),6/253,0.0017084264396017,0.0200088588095725,0,0,5.078732018261693,32.362607506736154,SFRP4;ZEB2;IGFBP4;MDK;APOE;BICC1,0,2.7674037160532974
GO_Biological_Process_2021,cellular protein modification process (GO:0006464),13/1025,0.0017676888308658,0.020351282822401,0,0,2.788878288128663,17.6761402010136,CSF1;IGFBP5;IGFBP4;TNC;CHRDL1;CP;FSTL1;CST3;SOCS3;SPP1;IGFBP7;APOE;GAS6,0,2.7525941821575586
GO_Biological_Process_2021,negative regulation of MAP kinase activity (GO:0043407),3/48,0.0017818416942912,0.020351282822401,0,0,13.646048109965635,86.3809554416349,ADIPOQ;SPRY1;APOE,0,2.749130882987001
GO_Biological_Process_2021,negative regulation of mitotic cell cycle (GO:0045930),3/48,0.0017818416942912,0.020351282822401,0,0,13.646048109965635,86.3809554416349,FOXC1;RGCC;ZFP36L1,0,2.749130882987001
GO_Biological_Process_2021,positive regulation of calcium ion import (GO:0090280),2/13,0.0018624280503563,0.0209258176064431,0,0,36.89981447124304,231.94759321375395,PDGFRB;CXCL12,0,2.7299204959954024
