Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,-log10_p
GO_Biological_Process_2021,regulation of Notch signaling pathway (GO:0008593),3/83,0.0011735239744728,0.0125567065268597,0,0,15.85372340425532,106.97686877010656,DLL4;JAG2;HEY1,AEC,2.9305080335686804
GO_Biological_Process_2021,positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707),2/21,0.0012477930702112,0.0131633381632141,0,0,43.708333333333336,292.25047477799524,PDGFB;FGF2,AEC,2.9038574306125264
GO_Biological_Process_2021,positive regulation of endothelial cell migration (GO:0010595),3/86,0.0013002540770145,0.0135262542178321,0,0,15.27839015637016,101.52789088565108,EDN1;PDGFB;FGF2,AEC,2.8859717757979877
GO_Biological_Process_2021,negative regulation of macromolecule metabolic process (GO:0010605),4/194,0.0013948699927373,0.0143117482816474,0,0,9.043478260869565,59.46045413696525,DLL4;CLDN5;PDGFB;FGF2,AEC,2.8554662684247405
GO_Biological_Process_2021,regulation of endothelial cell migration (GO:0010594),3/89,0.0014352931477222,0.0145274941573509,0,0,14.743196437407224,96.51465720793364,DLL4;EDN1;FGF2,AEC,2.8430593885216617
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),7/684,0.0014750347729053,0.0147306805987483,0,0,4.634365016660369,30.211767164051803,DLL4;EDN1;IFI27;HEY1;SOX18;PDGFB;TBX3,AEC,2.831197741378778
GO_Biological_Process_2021,positive regulation of protein autophosphorylation (GO:0031954),2/23,0.0014985033958486,0.0147681453090877,0,0,39.541666666666664,257.15086234948103,ACE;PDGFB,AEC,2.8243422685363964
GO_Biological_Process_2021,positive regulation of nucleic acid-templated transcription (GO:1903508),6/511,0.0016551108442681,0.0160997145760625,0,0,5.250675067506751,33.6247313655193,MECOM;HEY1;SOX17;SOX18;PDGFB;FGF2,AEC,2.7811729158205933
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),8/908,0.001725028167961,0.016564693561575,0,0,4.031746031746032,25.65203210225952,EDN1;HEY1;SOX17;SOX18;PDGFB;CDH13;FGF2;TBX3,AEC,2.763203808944243
GO_Biological_Process_2021,negative regulation of cell junction assembly (GO:1901889),2/25,0.0017712212130127,0.0165830586068316,0,0,36.09963768115942,228.73040961874747,ACE;FAM107A,AEC,2.751727195110795
GO_Biological_Process_2021,cardiac conduction system development (GO:0003161),2/25,0.0017712212130127,0.0165830586068316,0,0,36.09963768115942,228.73040961874747,HEY1;GJA5,AEC,2.751727195110795
GO_Biological_Process_2021,regulation of MAP kinase activity (GO:0043405),3/97,0.001837512611877,0.016991320324641,0,0,13.483023992756904,84.93418557118899,EDN1;PDGFB;FGF2,AEC,2.735769671427555
GO_Biological_Process_2021,lamellipodium assembly (GO:0030032),2/26,0.0019157650058532,0.0174988779193183,0,0,34.59375,216.47517339281177,ABLIM3;CDH13,AEC,2.7176577640050135
GO_Biological_Process_2021,negative regulation of endothelial cell apoptotic process (GO:2000352),2/27,0.0020657293545543,0.0184194200781095,0,0,33.208333333333336,205.3029465636782,CDH5;RAMP2,AEC,2.684926579003782
GO_Biological_Process_2021,positive regulation of nuclear division (GO:0051785),2/27,0.0020657293545543,0.0184194200781095,0,0,33.208333333333336,205.3029465636782,EDN1;PDGFB,AEC,2.684926579003782
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552),2/28,0.0022210873543451,0.0195716991576997,0,0,31.92948717948718,195.08145262248803,PDGFB;FGF2,AEC,2.6534343605132076
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",8/948,0.0022603542981203,0.0196861089452578,0,0,3.8520770010131713,23.467753354870556,DLL4;EDN1;IFI27;MECOM;HEY1;SOX18;PDGFB;TBX3,AEC,2.645823482242489
GO_Biological_Process_2021,positive regulation of protein serine/threonine kinase activity (GO:0071902),3/106,0.0023667454978385,0.0196873797478415,0,0,12.299318322660609,74.36462396066707,EDN1;PDGFB;FGF2,AEC,2.625848440350125
GO_Biological_Process_2021,regulation of DNA biosynthetic process (GO:2000278),2/29,0.0023818121959682,0.0196873797478415,0,0,30.74537037037037,185.6987673947897,PDGFB;FGF2,AEC,2.623092485284041
GO_Biological_Process_2021,lamellipodium organization (GO:0097581),2/29,0.0023818121959682,0.0196873797478415,0,0,30.74537037037037,185.6987673947897,ABLIM3;CDH13,AEC,2.623092485284041
GO_Biological_Process_2021,negative regulation of wound healing (GO:0061045),2/29,0.0023818121959682,0.0196873797478415,0,0,30.74537037037037,185.6987673947897,EDN1;FGF2,AEC,2.623092485284041
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",9/1183,0.0023919246422611,0.0196873797478415,0,0,3.5106992977936593,21.18937660717635,EDN1;MECOM;HEY1;SOX17;SOX18;PDGFB;CDH13;FGF2;TBX3,AEC,2.621252506943538
GO_Biological_Process_2021,negative regulation of Notch signaling pathway (GO:0045746),2/30,0.0025478771667966,0.0203017021056454,0,0,29.645833333333332,177.0595839464994,DLL4;HEY1,AEC,2.5938215131766835
GO_Biological_Process_2021,positive regulation of lipid kinase activity (GO:0090218),2/30,0.0025478771667966,0.0203017021056454,0,0,29.645833333333332,177.0595839464994,PDGFB;FGF2,AEC,2.5938215131766835
GO_Biological_Process_2021,maintenance of blood-brain barrier (GO:0035633),2/30,0.0025478771667966,0.0203017021056454,0,0,29.645833333333332,177.0595839464994,CDH5;CLDN5,AEC,2.5938215131766835
GO_Biological_Process_2021,activation of protein kinase B activity (GO:0032148),2/31,0.0027192556482504,0.0214391840056797,0,0,28.62212643678161,169.08226656127547,PDGFB;ADRA2C,AEC,2.565549960707733
GO_Biological_Process_2021,negative regulation of cellular process (GO:0048523),6/566,0.0027630028571042,0.0215571785413657,0,0,4.721590909090909,27.81695632019651,DLL4;SOX17;NPR1;PODXL;CDH13;FGF2,AEC,2.5586186659977317
GO_Biological_Process_2021,regulation of cell migration involved in sprouting angiogenesis (GO:0090049),2/32,0.0028959211173454,0.0223612878030074,0,0,27.666666666666668,161.69650653172428,DLL4;FGF2,AEC,2.5382132721600397
GO_Biological_Process_2021,actin filament bundle assembly (GO:0051017),2/33,0.0030778471463162,0.0232859344706149,0,0,26.772849462365592,154.84144163978604,FAM107A;AIF1L,AEC,2.511752952132796
GO_Biological_Process_2021,actin filament bundle organization (GO:0061572),2/33,0.0030778471463162,0.0232859344706149,0,0,26.772849462365592,154.84144163978604,FAM107A;AIF1L,AEC,2.511752952132796
GO_Biological_Process_2021,epithelial tube morphogenesis (GO:0060562),2/34,0.0032650074009337,0.0237426266339746,0,0,25.934895833333332,148.46413612460563,SOX17;PODXL,AEC,2.4861158299536776
GO_Biological_Process_2021,negative regulation of blood vessel endothelial cell migration (GO:0043537),2/34,0.0032650074009337,0.0237426266339746,0,0,25.934895833333332,148.46413612460563,DLL4;FGF2,AEC,2.4861158299536776
GO_Biological_Process_2021,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),2/34,0.0032650074009337,0.0237426266339746,0,0,25.934895833333332,148.46413612460563,PDGFB;FGF2,AEC,2.4861158299536776
GO_Biological_Process_2021,cellular response to vascular endothelial growth factor stimulus (GO:0035924),2/34,0.0032650074009337,0.0237426266339746,0,0,25.934895833333332,148.46413612460563,DLL4;RAMP2,AEC,2.4861158299536776
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase activity (GO:0043551),2/35,0.0034573756419477,0.0248997534213352,0,0,25.147727272727273,142.5183432834292,PDGFB;FGF2,AEC,2.461253432039241
GO_Biological_Process_2021,epithelium development (GO:0060429),3/122,0.0035220951104472,0.0251242784545234,0,0,10.637046307884855,60.085475656896094,NDRG4;SOX17;SOX18,AEC,2.4531989205479943
GO_Biological_Process_2021,positive regulation of epithelial cell proliferation (GO:0050679),3/123,0.0036038459511044,0.0253475867257038,0,0,10.547872340425531,59.33973167768229,PDGFB;CDH13;FGF2,AEC,2.443233781515167
GO_Biological_Process_2021,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),2/36,0.0036549257227984,0.0253475867257038,0,0,24.40686274509804,136.96349152286243,CDH5;CDH13,AEC,2.437121444562911
GO_Biological_Process_2021,positive regulation of mitotic nuclear division (GO:0045840),2/36,0.0036549257227984,0.0253475867257038,0,0,24.40686274509804,136.96349152286243,EDN1;PDGFB,AEC,2.437121444562911
GO_Biological_Process_2021,negative regulation of cell growth (GO:0030308),3/126,0.0038560473771467,0.0257979112744373,0,0,10.289050337311885,57.18770048343562,SOX17;NPR1;SEMA3G,AEC,2.41385763879748
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036),2/37,0.0038576315924392,0.0257979112744373,0,0,23.708333333333332,131.76384828572083,CDH5;RAMP2,AEC,2.4136792502562754
GO_Biological_Process_2021,regulation of vascular associated smooth muscle cell proliferation (GO:1904705),2/37,0.0038576315924392,0.0257979112744373,0,0,23.708333333333332,131.76384828572083,PDGFB;FGF2,AEC,2.4136792502562754
GO_Biological_Process_2021,positive regulation of signaling receptor activity (GO:2000273),2/37,0.0038576315924392,0.0257979112744373,0,0,23.708333333333332,131.76384828572083,EDN1;ADRA2C,AEC,2.4136792502562754
GO_Biological_Process_2021,negative regulation of endothelial cell migration (GO:0010596),2/38,0.0040654672914765,0.0267108333448763,0,0,23.04861111111111,126.88782669928548,DLL4;FGF2,AEC,2.390889528680986
GO_Biological_Process_2021,ventricular septum development (GO:0003281),2/38,0.0040654672914765,0.0267108333448763,0,0,23.04861111111111,126.88782669928548,HEY1;GJA5,AEC,2.390889528680986
GO_Biological_Process_2021,regulation of protein tyrosine kinase activity (GO:0061097),2/39,0.0042784069542198,0.0278654505105274,0,0,22.42454954954955,122.3074073504305,ACE;PDGFB,AEC,2.368717908505425
GO_Biological_Process_2021,negative regulation of signal transduction (GO:0009968),4/267,0.0044179168964334,0.0285260323743846,0,0,6.5091750702595474,35.29331342753395,DLL4;NDRG4;HEY1;FGF2,AEC,2.3547824577176053
GO_Biological_Process_2021,negative regulation of blood coagulation (GO:0030195),2/40,0.0044964248068071,0.0287848049598167,0,0,21.833333333333332,117.99765363023796,EDN1;PDGFB,AEC,2.3471326648462743
GO_Biological_Process_2021,T cell differentiation (GO:0030217),2/41,0.0047194951697385,0.0299567956113067,0,0,21.272435897435894,113.93630347986566,DLL4;JAG2,AEC,2.3261044540613445
GO_Biological_Process_2021,cellular calcium ion homeostasis (GO:0006874),3/136,0.0047734885794893,0.0300448987061976,0,0,9.51063829787234,50.83129816395182,CDH5;EDN1;TMEM178A,AEC,2.3211641121418585
GO_Biological_Process_2021,positive regulation of protein tyrosine kinase activity (GO:0061098),2/42,0.0049475924537835,0.0308812228990323,0,0,20.739583333333332,110.1034239545967,ACE;PDGFB,AEC,2.3056060815494894
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),2/44,0.0054187658916089,0.0332676692853699,0,0,19.75,103.05327189846057,DLL4;HEY1,AEC,2.266099611522887
GO_Biological_Process_2021,regulation of endothelial cell apoptotic process (GO:2000351),2/44,0.0054187658916089,0.0332676692853699,0,0,19.75,103.05327189846057,CDH5;RAMP2,AEC,2.266099611522887
GO_Biological_Process_2021,negative regulation of cell migration (GO:0030336),3/144,0.0055948013085478,0.0339254536294483,0,0,8.967406066093256,46.504227600937675,CLDN5;NDRG4;FGF2,AEC,2.2522153322157954
GO_Biological_Process_2021,positive regulation of Notch signaling pathway (GO:0045747),2/45,0.0056617913266769,0.0339254536294483,0,0,19.289728682170544,99.80534454493326,DLL4;JAG2,AEC,2.2470461412130196
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),2/45,0.0056617913266769,0.0339254536294483,0,0,19.289728682170544,99.80534454493326,PDGFB;FGF2,AEC,2.2470461412130196
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),5/464,0.0059082599537978,0.0351213230586874,0,0,4.718228031953522,24.211133794918997,MECOM;HEY1;SOX18;PDGFB;TBX3,AEC,2.2285404046911195
GO_Biological_Process_2021,epithelial to mesenchymal transition (GO:0001837),2/47,0.0061625935135597,0.0363447444224899,0,0,18.430555555555557,93.79784429037068,HEY1;TBX3,AEC,2.210236477513525
GO_Biological_Process_2021,positive regulation of blood vessel endothelial cell migration (GO:0043536),2/48,0.0064203200925442,0.0375689042915286,0,0,18.028985507246375,91.01549863791358,PDGFB;FGF2,AEC,2.192443319133604
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),3/158,0.0072257561149995,0.041954196357633,0,0,8.151681537405628,40.18863284587075,DLL4;RAMP2;PDGFB,AEC,2.1411167009049183
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738),2/53,0.0077812124839393,0.0448317550036196,0,0,16.25735294117647,78.94640668269977,HEY1;GJA5,AEC,2.108952725111067
GO_Biological_Process_2021,regulation of MAPK cascade (GO:0043408),3/166,0.0082715898220491,0.0470734122507677,0,0,7.748466257668712,37.153342067959336,PDGFB;ADRA2C;FGF2,AEC,2.082411009844599
