mouse_gene,human_gene
Krtap5-24,KRTAP10-6
Krtap5-2,KRTAP10-6
Krtap5-20,KRTAP10-6
Krtap12-20,KRTAP10-6
Krtap12-23,KRTAP10-6
Krtap12-21,KRTAP10-6
Krtap12-1,KRTAP10-6
Krtap12-22,KRTAP10-6
Krtap10-33,KRTAP10-6
Krtap10-32,KRTAP10-6
Krtap10-30,KRTAP10-6
Krtap10-28,KRTAP10-6
Krtap10-31,KRTAP10-6
Krtap10-29,KRTAP10-6
Gm49918,KRTAP10-6
Krtap10-27,KRTAP10-6
Krtap10-26,KRTAP10-6
Krtap10-22,KRTAP10-6
Krtap10-23,KRTAP10-6
Krtap10-25,KRTAP10-6
Krtap10-21,KRTAP10-6
Krtap10-24,KRTAP10-6
Krtap10-10,KRTAP10-6
Krtap10-4,KRTAP10-6
Krtap10-35,KRTAP10-6
Krtap10-34,KRTAP10-6
Krtap5-26,KRTAP10-11
Krtap5-24,KRTAP10-11
Krtap5-2,KRTAP10-11
Krtap5-20,KRTAP10-11
Krtap1-4,KRTAP10-11
Krtap1-3,KRTAP10-11
Krtap9-3,KRTAP10-11
Krtap12-20,KRTAP10-11
Krtap12-23,KRTAP10-11
Krtap12-21,KRTAP10-11
Krtap12-1,KRTAP10-11
Krtap12-22,KRTAP10-11
Krtap10-33,KRTAP10-11
Krtap10-32,KRTAP10-11
Krtap10-30,KRTAP10-11
Krtap10-28,KRTAP10-11
Krtap10-31,KRTAP10-11
Krtap10-29,KRTAP10-11
Gm49918,KRTAP10-11
Krtap10-27,KRTAP10-11
Krtap10-26,KRTAP10-11
Krtap10-22,KRTAP10-11
Krtap10-23,KRTAP10-11
Krtap10-25,KRTAP10-11
Krtap10-21,KRTAP10-11
Krtap10-24,KRTAP10-11
Krtap10-10,KRTAP10-11
Krtap10-4,KRTAP10-11
Krtap10-35,KRTAP10-11
Krtap10-34,KRTAP10-11
Krtap9-5,KRTAP10-11
Krtap2-20,KRTAP10-11
Krtap2-22,KRTAP10-11
Krtap2-4,KRTAP10-11
Krtap2-21,KRTAP10-11
Krtap10-33,KRTAP12-3
Krtap10-32,KRTAP12-3
Krtap10-30,KRTAP12-3
Krtap10-28,KRTAP12-3
Krtap10-31,KRTAP12-3
Krtap10-29,KRTAP12-3
Gm49918,KRTAP12-3
Krtap10-27,KRTAP12-3
Krtap10-26,KRTAP12-3
Krtap10-22,KRTAP12-3
Krtap10-23,KRTAP12-3
Krtap10-25,KRTAP12-3
Krtap10-21,KRTAP12-3
Krtap10-24,KRTAP12-3
Krtap10-10,KRTAP12-3
Krtap10-4,KRTAP12-3
Krtap10-35,KRTAP12-3
Krtap10-34,KRTAP12-3
Krtap10-33,KRTAP12-2
Krtap10-32,KRTAP12-2
Krtap10-30,KRTAP12-2
Krtap10-28,KRTAP12-2
Krtap10-31,KRTAP12-2
Krtap10-29,KRTAP12-2
Gm49918,KRTAP12-2
Krtap10-27,KRTAP12-2
Krtap10-26,KRTAP12-2
Krtap10-22,KRTAP12-2
Krtap10-23,KRTAP12-2
Krtap10-25,KRTAP12-2
Krtap10-21,KRTAP12-2
Krtap10-24,KRTAP12-2
Krtap10-10,KRTAP12-2
Krtap10-4,KRTAP12-2
Krtap10-35,KRTAP12-2
Krtap10-34,KRTAP12-2
Krtap10-33,KRTAP12-1
Krtap10-32,KRTAP12-1
Krtap10-30,KRTAP12-1
Krtap10-28,KRTAP12-1
Krtap10-31,KRTAP12-1
Krtap10-29,KRTAP12-1
Gm49918,KRTAP12-1
Krtap10-27,KRTAP12-1
Krtap10-26,KRTAP12-1
Krtap10-22,KRTAP12-1
Krtap10-23,KRTAP12-1
Krtap10-25,KRTAP12-1
Krtap10-21,KRTAP12-1
Krtap10-24,KRTAP12-1
Krtap10-10,KRTAP12-1
Krtap10-4,KRTAP12-1
Krtap10-35,KRTAP12-1
Krtap10-34,KRTAP12-1
Olig1,OLIG1
Umodl1,UMODL1
Krtap8-1,KRTAP8-1
Krtap7-1,KRTAP7-1
Krtap11-1,KRTAP11-1
Lipi,LIPI
Krtap5-26,KRTAP10-9
Krtap5-24,KRTAP10-9
Krtap5-2,KRTAP10-9
Krtap5-20,KRTAP10-9
Krtap12-20,KRTAP10-9
Krtap12-23,KRTAP10-9
Krtap12-21,KRTAP10-9
Krtap12-1,KRTAP10-9
Krtap12-22,KRTAP10-9
Krtap10-33,KRTAP10-9
Krtap10-32,KRTAP10-9
Krtap10-30,KRTAP10-9
Krtap10-28,KRTAP10-9
Krtap10-31,KRTAP10-9
Krtap10-29,KRTAP10-9
Gm49918,KRTAP10-9
Krtap10-27,KRTAP10-9
Krtap10-26,KRTAP10-9
Krtap10-22,KRTAP10-9
Krtap10-23,KRTAP10-9
Krtap10-25,KRTAP10-9
Krtap10-21,KRTAP10-9
Krtap10-24,KRTAP10-9
Krtap10-10,KRTAP10-9
Krtap10-4,KRTAP10-9
Krtap10-35,KRTAP10-9
Krtap10-34,KRTAP10-9
Krtap5-26,KRTAP10-4
Krtap5-24,KRTAP10-4
Krtap5-2,KRTAP10-4
Krtap5-20,KRTAP10-4
Krtap1-4,KRTAP10-4
Krtap1-3,KRTAP10-4
Krtap9-3,KRTAP10-4
Krtap12-20,KRTAP10-4
Krtap12-23,KRTAP10-4
Krtap12-21,KRTAP10-4
Krtap12-1,KRTAP10-4
Krtap12-22,KRTAP10-4
Krtap10-33,KRTAP10-4
Krtap10-32,KRTAP10-4
Krtap10-30,KRTAP10-4
Krtap10-28,KRTAP10-4
Krtap10-31,KRTAP10-4
Krtap10-29,KRTAP10-4
Gm49918,KRTAP10-4
Krtap10-27,KRTAP10-4
Krtap10-26,KRTAP10-4
Krtap10-22,KRTAP10-4
Krtap10-23,KRTAP10-4
Krtap10-25,KRTAP10-4
Krtap10-21,KRTAP10-4
Krtap10-24,KRTAP10-4
Krtap10-10,KRTAP10-4
Krtap10-4,KRTAP10-4
Krtap10-35,KRTAP10-4
Krtap10-34,KRTAP10-4
Krtap9-5,KRTAP10-4
Krtap2-20,KRTAP10-4
Krtap2-22,KRTAP10-4
Krtap2-4,KRTAP10-4
Krtap2-21,KRTAP10-4
Mcm3ap,MCM3AP
Mzt1,MZT1
Erich6b,ERICH6B
Klhl1,KLHL1
Ttc3,TTC3
Frem2,FREM2
Cby2,CBY2
Pou4f1,POU4F1
Nhlrc3,NHLRC3
Olfm4,OLFM4
Diaph3,DIAPH3
Krtap26-1,KRTAP26-1
Krtap27-1,KRTAP27-1
Krtap13-1,KRTAP13-2
Krtap13-1,KRTAP13-1
Krtap15-1,KRTAP15-1
Krtap13-23,KRTAP13-3
Krtap13-20,KRTAP13-3
Krtap13,KRTAP13-3
Krtap13-24,KRTAP13-3
Krtap13-21,KRTAP13-3
Gm54599,RNU6-426P
Gm26224,SNORD74B
Mir99a,MIR99A
Mirlet7c-1,MIRLET7C
Gm25308,RNU1-98P
Krtap13-1,KRTAP13-4
Pcnt,PCNT
Son,SON
Pcdh17,PCDH17
Lrch1,LRCH1
Slitrk6,SLITRK6
Sox1,SOX1
Myo16,MYO16
Nrip1,NRIP1
Rcan1,RCAN1
Irs2,IRS2
Spaca7,SPACA7
Nalf1,NALF1
Grk1,GRK1
Ubl3,UBL3
Grik1,GRIK1
Fam216b,FAM216B
Gm55840,RN7SKP1
Gm54538,RN7SKP2
Gm23169,RNU6-38P
Gm23246,SNORD31B
Gm24134,SNORD36
Gm24211,RNU6-58P
Kcnrg,KCNRG
Mir15a,MIR15A
Fam124a,FAM124A
Zar1l,ZAR1L
Gm26424,RNU6-1326P
Mrps6,MRPS6
Rfxap,RFXAP
Siah3,SIAH3
Slc5a3,SLC5A3
Ccdc168,CCDC168
Kcne2,KCNE2
Gm24165,SNORA31
Gm24240,SNORA31
Snora31,SNORA31
Slitrk1,SLITRK1
Gm22649,RN7SL597P
Kbtbd6,KBTBD6
Kbtbd7,KBTBD7
Gm23096,RNU6-57P
Cyyr1,CYYR1
Rap2a,RAP2A
Cryaa,CRYAA
Gm25202,RNU2-7P
Shisa2,SHISA2
Rxfp2,RXFP2
Fry,FRY
Utp14b,UTP14C
Utp14a,UTP14C
Ccdc70,CCDC70
Gpr18,GPR18
Tnfsf13b,TNFSF13B
Atp8a2,ATP8A2
Sacs,SACS
Akain1,AKAIN1
Slc14a2,SLC14A2
Kctd12,KCTD12
Cln5,CLN5
Mia2,CTAGE1
Hrh4,HRH4
Serpine3,SERPINE3
St8sia3,ST8SIA3
Mettl21c,METTL21C
Slc10a2,SLC10A2
Bod1,BOD1L2
Cdh7,CDH7
Zic2,ZIC2
Zic5,ZIC5
Gsx1,GSX1
Mc4r,MC4R
Pdx1,PDX1
Nbea,NBEA
Cdh20,CDH20
2700062C07Rik,C18orf21
Slc39a6,SLC39A6
Gm24452,SNORD27
Fgf9,FGF9
Galr1,GALR1
Gm25587,RNU1-16P
Adprhl1,ADPRHL1
Mbp,MBP
Tpte,TPTE2
Tnfsf11,TNFSF11
Alg11,ALG11
Lrrc63,LRRC63
Pcdh20,PCDH20
Rnf17,RNF17
Ndfip2,NDFIP2
Gm22880,RNU6-349P
Gm22352,RNU6-916P
Gm22345,RNU6-1289P
Gm55615,RN7SKP182
Mir187,MIR187
Gm55060,RNU6-706P
Gm23142,RNU6-708P
Gm22716,RNU6-708P
Gm23926,RNU6-708P
Gm26240,RNU6-708P
Gm24423,RNU6-708P
Gm23648,RNU6-116P
Gm26177,RNU6-116P
Gm23545,RNU6-567P
Gm26285,RNU6-39P
Gm26166,RNU6-655P
Dsg4,DSG4
Gm25337,RNU6-83P
Gm22229,RNU6-83P
Gm54931,RN7SKP7
Atp4b,ATP4B
Dleu7,DLEU7
Slain1,SLAIN1
Gm23301,SNORD58A
Snord58b,SNORD58B
Gm22354,SNORD58B
Gm22456,RNU1-46P
Gm23850,RNU1-46P
Mex3c,MEX3C
Onecut2,ONECUT2
Mir122,MIR122
Gm54984,RNU6-219P
Gm24164,RNU6-219P
Ptprm,PTPRM
Kl,KL
Pcdh8,PCDH8
Gm22279,RNU6-55P
Gm54642,RNU6-55P
Dach1,DACH1
Gm55063,RNU1-24P
Gm24291,RNU1-24P
Gm24145,RNU1-24P
Gm23727,RNU1-24P
Gm23039,RNU1-24P
Gm55093,RNU6-82P
Nufip1,NUFIP1
Apcdd1,APCDD1
Gm55378,RN7SKP3
Kctd4,KCTD4
Pabpc6,PABPC3
Pabpc2,PABPC3
Amer2,AMER2
Sohlh2,SOHLH2
Bcl2,BCL2
Ccdc169,CCDC169
Cidea,CIDEA
Dsc3,DSC3
Dsc1,DSC1
Acod1,ACOD1
Gpc6,GPC6
Dsg1b,DSG1
Dsg1a,DSG1
Dsg1c,DSG1
Dct,DCT
Gm25549,RNU6-167P
Psma8,PSMA8
Sox21,SOX21
Gm25792,RNU6-62P
Hs6st3,HS6ST3
Nfatc1,NFATC1
Tuba3b,TUBA3C
Gpc5,GPC5
Urah,URAD
C1qtnf9,C1QTNF9B
Brca2,BRCA2
Ing1,ING1
Gtf3a,GTF3A
Gm55378,RN7SKP8
Lama3,LAMA3
1700029H14Rik,C13orf46
Gm4131,C13orf42
Gm25091,SNORD102
Gm23202,SNORA27
Gnal,GNAL
Mep1b,MEP1B
Loxhd1,LOXHD1
Serpinb13,SERPINB13
Serpinb3a,SERPINB4
Serpinb3d,SERPINB4
Serpinb3b,SERPINB4
Serpinb3c,SERPINB4
Serpinb11,SERPINB11
Dipk1c,DIPK1C
Gm17266,C18orf63
Serpinb12,SERPINB12
Prelid3a,PRELID3A
Rab12,RAB12
Txnl4a,TXNL4A
Rbfa,RBFA
Pard6g,PARD6G
Wdr7,WDR7
Cetn1,CETN1
Lrrc30,LRRC30
Txndc2,TXNDC2
Piezo2,PIEZO2
Ccdc178,CCDC178
Mc5r,MC5R
Stard6,STARD6
Mir133a-1,MIR133A1
Mir1a-2,MIR1-2
Gm24925,RNU6-1038P
Grp,GRP
Rax,RAX
Cplx4,CPLX4
Siglec15,SIGLEC15
Gm55956,RN7SKP26
Gm55102,RN7SKP26
Asxl3,ASXL3
Zfp941,ZNF519
Fam243,C21orf140
Smim34,SMIM34
Serpinb10,SERPINB10
Slc35g3,SLC35G4
Chmp1b,CHMP1B
Tshz1,TSHZ1
Gm24552,RNU6-346P
Zfp236,ZNF236
Mir155,MIR155
Get1,GET1
Gm22279,RNU6-316P
Gm54642,RNU6-316P
Ptgr3,PTGR3
Gm23794,RNU6-831P
Dlgap1,DLGAP1
Itsn1,ITSN1
Dcc,DCC
Adra1d,ADRA1D
Defb23,DEFB129
Defb26,DEFB125
Insm1,INSM1
Defb20,DEFB128
Rock1,ROCK1
Btbd3,BTBD3
Ism1,ISM1
Scrt2,SCRT2
Defb22,DEFB127
Defb28,DEFB115
Fam83d,FAM83D
Kcnb1,KCNB1
Mc3r,MC3R
Cbln4,CBLN4
Slc25a51,SLC25A52
Rbbp8nl,RBBP8NL
Gm25269,RNU6-1050P
Gm23102,RNU5A-6P
Pmepa1,PMEPA1
Sall4,SALL4
Scp2d1,SCP2D1
Bhlhe23,BHLHE23
Cdh4,CDH4
Ss18l1,SS18L1
Sycp2,SYCP2
Lama5,LAMA5
Gm23895,RNU1-23P
Gm23567,RNU6-347P
Gm23308,RNU6-929P
Mir1a-1,MIR1-1
Mir133a-1,MIR133A2
Rbpjl,RBPJL
Trp53tg5,TP53TG5
Tubb1,TUBB1
6430550D23Rik,C20orf173
Ftcd,FTCD
Fitm2,FITM2
Gtsf1l,GTSF1L
Osm,OSM
Otor,OTOR
R3hdml,R3HDML
Ncf4,NCF4
Mir124a-3,MIR124-3
Birc7,BIRC7
Nkain4,NKAIN4
Pwp2,PWP2
Gm54874,RNU6-994P
Gm26485,RNU6-994P
Chrna4,CHRNA4
Cacna1i,CACNA1I
Mkks,MKKS
Col6a1,COL6A1
Xkr7,XKR7
Plagl2,PLAGL2
Fam83c,FAM83C
Oxt,OXT
Icosl,ICOSLG
Avp,AVP
Gm22681,RNU6-1019P
Gm24430,RNU6-1019P
Gm25784,RNU6-1019P
Foxs1,FOXS1
Gm22056,RNU6-192P
Ovol2,OVOL2
Hlcs,HLCS
Snord17,SNORD17
Gm55136,RN7SKP74
Pet117,PET117
Cldn14,CLDN14
Gm22157,RNU6-917P
Gm24538,RNU6-917P
Snx21,SNX21
Enthd1,ENTHD1
Abcg1,ABCG1
Lif,LIF
Triobp,TRIOBP
1700003F12Rik,C20orf144
Prokr2,PROKR2
Banf2,BANF2
Top1,TOP1
Prnd,PRND
Rtl6,RTL6
Mafb,MAFB
Pkdrej,PKDREJ
Slpi,SLPI
Spint3,SPINT3
Shisal1,SHISAL1
Sik1,SIK1
Eppin,EPPIN
Gm55357,SNORD83A
Snord83b,SNORD83B
Wfdc3,WFDC3
Runx1,RUNX1
Cryba4,CRYBA4
Tnnc2,TNNC2
Lrrc3,LRRC3
C2cd2,C2CD2
Ntsr1,NTSR1
Mir103-2,MIR103A2
Defb15,DEFB132
Defb34,DEFB132
Defb22,DEFB132
Zcchc3,ZCCHC3
Fam210b,FAM210B
Myo18b,MYO18B
Fam209,FAM209A
Fam209,FAM209B
Znfx1,ZNFX1
Tff3,TFF3
Il10rb,IL10RB
Gm25878,SNORD12C
Gm23201,SNORD12B
Snord12,SNORD12
Mocs3,MOCS3
Hck,HCK
Tcp10a,TCP10L
Tcp10b,TCP10L
Tcp10c,TCP10L
Rbm11,RBM11
Trpm2,TRPM2
Sox12,SOX12
Pcdh9,PCDH9
Neurl2,NEURL2
Wfdc13,WFDC13
Spint4,SPINT4
Tmem239,TMEM239
Tcf15,TCF15
Spata25,SPATA25
Srms,SRMS
Zfp831,ZNF831
Cbfa2t2,CBFA2T2
Mical3,MICAL3
Actl10,ACTL10
Hspa13,HSPA13
Ltn1,LTN1
Cstl1,CSTL1
Ocstamp,OCSTAMP
Slc13a3,SLC13A3
Ube2g2,UBE2G2
Acr,ACR
Gcnt7,GCNT7
Slc12a5,SLC12A5
Celsr1,CELSR1
Trappc10,TRAPPC10
Parvb,PARVB
Amelx,AMELX
Kat14,KAT14
Gm14692,FAM9B
Xlr5c,FAM9B
Xlr4b,FAM9B
Gm1140,FAM9B
Xlr5a,FAM9B
Xlr3a,FAM9B
Xlr4c,FAM9B
Xlr4a,FAM9B
Xlr3c,FAM9B
Xlr3b,FAM9B
Xlr5b,FAM9B
Gm25425,RNU6-64P
Gm55425,Metazoa_SRP
Gm56405,Metazoa_SRP
Gm55356,Metazoa_SRP
Gm54487,Metazoa_SRP
Gm25735,Metazoa_SRP
Gm24809,Metazoa_SRP
Gm25574,Metazoa_SRP
Gm25072,Metazoa_SRP
Gm56028,Metazoa_SRP
Gm54720,Metazoa_SRP
Gm27956,Metazoa_SRP
Gm24576,Metazoa_SRP
Gm56145,Metazoa_SRP
Gm55459,Metazoa_SRP
Gm56242,Metazoa_SRP
Gm24584,RNU6-495P
Snu13,SNU13
Gm14692,FAM9A
Xlr5c,FAM9A
Xlr4b,FAM9A
Gm1140,FAM9A
Xlr5a,FAM9A
Xlr3a,FAM9A
Xlr4c,FAM9A
Xlr4a,FAM9A
Xlr3c,FAM9A
Xlr3b,FAM9A
Xlr5b,FAM9A
Tgm3,TGM3
Tgm6,TGM6
Grpr,GRPR
Bend2,BEND2
Mir185,MIR185
Ube2l3,UBE2L5
Mir3618,MIR3618
Mir1306,MIR1306
Gm25187,SNORA71E
Gm25777,SNORA77B
Gm25129,SNORA60
Ccdc188,CCDC188
Slc32a1,SLC32A1
Klhl34,KLHL34
Cnbd2,CNBD2
Rtn4r,RTN4R
Kcnj6,KCNJ6
Mettl21e,METTL21EP
Cnksr2,CNKSR2
Rrp1,RRP1
Txnrd2,TXNRD2
Taf4,TAF4
Tmem74bos,C20orf202
Wfdc8,WFDC8
Mir17,MIR17
Mir18,MIR18A
Mir19a,MIR19A
Mir20a,MIR20A
Mir19b-1,MIR19B1
Adig,ADIG
Gm22290,RNU6-60P
Fastkd5,FASTKD5
Trp53rka,TP53RK
Trp53rkb,TP53RK
Hmgb1,HMGB1P1
Cimip1,CIMIP1
Ankrd60,ANKRD60
Sun5,SUN5
Bpifb4,BPIFB4
Bpifa2,BPIFA2
Atp5po,ATP5PO
Bpifa3,BPIFA3
Bpifb3,BPIFB3
Fgf14,FGF14
Ahcy,AHCY
Ahcyl,AHCY
Klf5,KLF5
Rubcnl,RUBCNL
Gins1,GINS1
Dyrk1a,DYRK1A
Smim26,SMIM26
Panx2,PANX2
Slc15a1,SLC15A1
Mir33,MIR33A
Hmox1,HMOX1
Spo11,SPO11
Cacng2,CACNG2
Slc5a4a,SLC5A4
Apobec3,APOBEC3H
Rbm38,RBM38
Defb22,DEFB121
Defb36,DEFB123
Defb25,DEFB124
Nol4l,NOL4L
Cimip4,CIMIP4
Gm25006,RNU6-900P
Gm24504,RNU6-900P
Spata13,SPATA13
Kcns1,KCNS1
Ccdc116,CCDC116
S100g,S100G
H2ap,H2AP
Mir130b,MIR301B
Mir301b,MIR301B
Wfdc12,WFDC12
Semg1,SEMG2
Svs3a,SEMG2
Svs3b,SEMG2
Defb29,DEFB116
Ppil2,PPIL2
Defb21,DEFB118
Defb19,DEFB119
Itih6,ITIH6
Pax1,PAX1
Wfdc5,WFDC5
Ebf4,EBF4
Cdkl5,CDKL5
Ttll9,TTLL9
U2af1,U2AF1
F10,F10
Ypel1,YPEL1
Sstr4,SSTR4
Thbd,THBD
Emilin3,EMILIN3
Abhd16b,ABHD16B
Gm25818,RNU1-134P
Samd10,SAMD10
Gm24958,SNORD125
Nefh,NEFH
Gpr183,GPR183
Sel1l2,SEL1L2
Flt3,FLT3
Sec14l2,SEC14L2
Macrod2,MACROD2
Fam236f,FAM236B
Fam236e,FAM236B
Tsc22d1,TSC22D1
Akap4,AKAP4
Oxgr1,OXGR1
Pigp,PIGP
Jade3,JADE3
L3mbtl1,L3MBTL1
Stoml3,STOML3
Gpr12,GPR12
Ggact,GGACT
Foxr2,FOXR2
Mageh1,MAGEH1
Cpb2,CPB2
N6amt1,HEMK2
Tssk2,TSSK2
Gsc2,GSC2
Fgf16,FGF16
Rsph14,RSPH14
Cpxcr1,CPXCR1
Pabpc5,PABPC5
Tiam1,TIAM1
Pabpc1l2b,PABPC1L2A
Pabpc1l2a,PABPC1L2A
Arl13a,ARL13A
Eif3l,EIF3L
Brwd3,BRWD3
Nanp,NANP
Dnajc15,DNAJC15
Serp2,SERP2
Gm25139,RNU105B
Gm25804,RNU105B
Gm25483,RNU105B
Eda,EDA
Klf12,KLF12
Plcb1,PLCB1
Cryl1,CRYL1
Magee1,MAGEE1
Rgcc,RGCC
Tgif2lx1,TGIF2LX
Tgif2lx2,TGIF2LX
Tcf20,TCF20
Zfp957,TCF20
F7,F7
Tex13a,TEX13B
Tex13b,TEX13B
Syce3,SYCE3
Magee2,MAGEE2
Xk,XK
Arhgap6,ARHGAP6
Tmem191,TMEM191C
H1f0,H1-0
Cldn5,CLDN5
Fam227a,FAM227A
Rimbp3,RIMBP3C
D16Ertd472e,C21orf91
Ppm1f,PPM1F
Lmo7,LMO7
Ccnb3,CCNB3
Cbr3,CBR3
Cfap298,CFAP298
Pou3f4,POU3F4
Fam236f,FAM236C
Fam236e,FAM236C
Cylc1,CYLC1
Ripply1,RIPPLY1
Tshz2,TSHZ2
Gm26329,Y_RNA
Zfp217,ZNF217
